Scanning directory: C:\Users\VICTUS\Desktop\Sertaç

C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\Email.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0555s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\ListOfEmails.java: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0527s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\README.md: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0780s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\COMMIT_EDITMSG: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0773s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\config: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0768s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\description: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0762s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\HEAD: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0722s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\index: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.00, Time: 2.0711s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\applypatch-msg.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0703s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\commit-msg.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0682s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\fsmonitor-watchman.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0863s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\post-update.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0665s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\pre-applypatch.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0665s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\pre-commit.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.1170s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\pre-merge-commit.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0634s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\pre-push.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0799s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\pre-rebase.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0780s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\pre-receive.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0762s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\prepare-commit-msg.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0973s)
